sample_name,location,group,lat_long,age,genus,species,thermo,t_min,t_max,average,d18Op,sd,n,d18Ow_min,d18Ow_max,body_t_min,body_t_max,endo_meso_diff
CMM-V-10742,"Sharktooth Hill Bonebed , California",miocene_california,"35N, 119W",Langhian,Carcharhinus,sp.,Ecto,14,19,16,23.54,0.34,3,1,2,15.99,20.04,
CMM-V-10742,"Sharktooth Hill Bonebed , California",miocene_california,"35N, 119W",Langhian,Carcharhinus,sp.,Ecto,14,19,16,22.23,0.93,3,1,2,21.84,25.89,
CMM-V-10743,"Sharktooth Hill Bonebed , California",miocene_california,"35N, 119W",Langhian,Physogaleus,sp.,Ecto,14,19,16,21.6,0.37,3,1,2,24.69,28.74,
,California,miocene_california,"35N, 119W",Late Miocene,Odontoceti,Porpoise (ear bone),Endo,14,19,16,19.76,,1,1,2,32.96,37.01,11.09
,California,miocene_california,"35N, 119W",Late Miocene,Odontoceti,Porpoise (ear bone),Endo,14,19,16,20.33,0.13,2,1,2,30.41,34.46,8.54
,California,miocene_california,"35N, 119W",Late Miocene,Odontoceti,Porpoise (ear bone),Endo,14,19,16,19.36,0.27,3,1,2,34.76,38.81,12.9
CMM-V-10740,"Sharktooth Hill Bonebed , California",miocene_california,"35N, 119W",Langhian,Isurus,planus,Meso,14,19,16,21.48,0.53,3,1,2,25.26,29.31,3.4
CMM-V-10741,"Sharktooth Hill Bonebed , California",miocene_california,"35N, 119W",Langhian,Carcharodon,hastalis,Meso,14,19,16,21.85,0.29,2,1,2,23.55,27.6,1.69
,California,miocene_california,"35N, 119W",Late Miocene,Carcharodon,carcharias,Meso,14,19,16,20.78,2.59,3,1,2,28.41,32.46,6.54
SDSNH_143306,"Lawrence Canyon, California",miocene_california,"35N, 119W",Langhian,Otodus,megalodon,,14,19,16,21.4,0.54,3,1,2,25.62,29.67,3.75
SDSNH_143306,"Lawrence Canyon, California",miocene_california,"35N, 119W",Langhian,Otodus,megalodon,,14,19,16,21.68,0.55,2,1,2,24.36,28.41,2.49
CMM-V-11574,"Walbertsweiler, Germany",miocene_germany,"48N, 9E",Burdigalian,Pseudocarcharias,rigida,Ecto,15,26,19,22.6,0.14,3,1,2,20.2,22.45,
CMM-V-11575,"Walbertsweiler, Germany",miocene_germany,"48N, 9E",Burdigalian,Pseudocarcharias,rigida,Ecto,15,26,19,23.4,0.15,3,1,2,16.6,18.85,
